Y11_Q57,Y11_MWIndex,Y11_Country,Y11_Q31,Y11_Agecategory,Y11_HH2a,Y11_HHstructure,Y11_Q42,Y11_Q18,Y11_Q32,Y11_HHsize,Y11_Accommproblems,Y11_Q40a,Y11_Q40c,Y11_Q40d,Y11_Q40e,Y11_Q40f,Y11_Q40g,Y11_Q7,Y11_EmploymentStatus,Y11_RuralUrban,Y11_Q50d,Y11_Q53a
0,64.0,15,4.0,2,1,1,1.0,3.0,0.0,1,1.0,4.0,6.0,6.0,5.0,8.0,7.0,35.0,1,1.0,3.0,8.0
1,64.0,15,4.0,2,1,1,2.0,1.0,0.0,1,0.0,10.0,10.0,10.0,10.0,10.0,8.0,60.0,1,1.0,2.0,5.0
1,80.0,15,3.0,5,1,1,1.0,1.0,0.0,1,0.0,5.0,8.0,10.0,10.0,10.0,10.0,0.0,4,1.0,3.0,10.0
0,44.0,15,4.0,2,1,1,3.0,2.0,0.0,1,0.0,8.0,8.0,10.0,9.0,9.0,9.0,39.0,1,2.0,3.0,7.0
0,80.0,15,4.0,3,1,1,1.0,1.0,0.0,1,1.0,8.0,8.0,7.0,8.0,8.0,8.0,35.0,1,2.0,3.0,8.0
1,100.0,15,4.0,3,1,1,1.0,3.0,0.0,1,1.0,8.0,7.0,5.0,6.0,9.0,9.0,48.0,1,2.0,2.0,5.0
0,64.0,15,4.0,1,1,1,2.0,1.0,0.0,1,2.0,10.0,5.0,7.0,8.0,8.0,8.0,0.0,2,1.0,2.0,1.0
0,80.0,15,4.0,2,1,1,2.0,3.0,0.0,1,0.0,9.0,7.0,8.0,9.0,9.0,9.0,40.0,1,1.0,2.0,5.0
0,80.0,6,3.0,3,1,1,2.0,3.0,0.0,1,0.0,7.0,8.0,8.0,,8.0,8.0,42.0,1,1.0,2.0,8.0
1,48.0,6,4.0,3,1,1,2.0,4.0,0.0,1,2.0,9.0,8.0,8.0,5.0,7.0,7.0,45.0,1,1.0,3.0,9.0
0,52.0,6,4.0,3,1,1,3.0,3.0,0.0,1,0.0,8.0,8.0,8.0,6.0,4.0,8.0,36.0,1,1.0,2.0,3.0
0,96.0,6,4.0,2,1,1,1.0,4.0,0.0,1,0.0,7.0,8.0,5.0,8.0,9.0,8.0,45.0,1,1.0,3.0,8.0
0,40.0,6,4.0,3,1,1,3.0,4.0,0.0,1,1.0,2.0,5.0,5.0,3.0,3.0,2.0,38.0,1,2.0,2.0,5.0
0,56.0,6,2.0,3,1,1,2.0,4.0,1.0,1,,5.0,6.0,6.0,5.0,8.0,7.0,43.0,1,1.0,2.0,7.0
0,72.0,6,4.0,3,1,1,2.0,1.0,0.0,1,0.0,,9.0,10.0,,8.0,9.0,38.0,1,1.0,3.0,3.0
0,76.0,6,4.0,1,1,1,2.0,3.0,0.0,1,2.0,3.0,6.0,7.0,5.0,7.0,8.0,25.0,1,2.0,3.0,7.0
1,80.0,6,4.0,3,1,1,1.0,1.0,0.0,1,0.0,10.0,8.0,8.0,6.0,8.0,6.0,0.0,7,2.0,3.0,8.0
1,72.0,6,4.0,3,1,1,2.0,2.0,0.0,1,0.0,7.0,7.0,9.0,5.0,7.0,8.0,44.0,1,2.0,3.0,7.0
1,100.0,15,1.0,5,1,1,3.0,1.0,1.0,1,0.0,6.0,8.0,8.0,8.0,6.0,6.0,0.0,4,2.0,3.0,10.0
